,temp_min,temp_max,temp_med,data_dia,umid_min,umid_med,umid_max,pressao_min,pressao_med,pressao_max,Estacao_wu_estacao_id,id
59,23.0,27.0,24.8485,2015-10-28,59.0,77.9091,89.0,1011.0,1012.91,1015.0,SBGL,60
128,23.0,29.0,25.2759,2015-10-28,63.0,84.4483,100.0,1011.0,1012.66,1015.0,SBRJ,129
236,22.0,27.0,23.8485,2015-10-29,54.0,75.8788,88.0,1014.0,1016.7,1020.0,SBGL,237
304,22.0,28.0,24.25,2015-10-29,66.0,83.2917,96.0,1013.0,1016.3,1020.0,SBRJ,305
415,21.0,30.0,24.3125,2015-10-30,50.0,74.2812,94.0,1014.0,1016.53,1019.0,SBGL,415
480,21.0,27.0,24.44,2015-10-30,68.0,81.68,100.0,1014.0,1016.52,1019.0,SBRJ,481
591,21.0,35.0,27.1562,2015-10-31,30.0,65.4375,88.0,1008.0,1011.75,1015.0,SBGL,592
654,22.0,36.0,28.6087,2015-10-31,33.0,63.913000000000004,94.0,1008.0,1011.41,1015.0,SBRJ,655
765,24.0,31.0,26.5312,2015-11-01,44.0,68.2188,78.0,1011.0,1012.81,1015.0,SBGL,765
826,24.0,32.0,26.8929,2015-11-01,55.0,76.7143,89.0,1011.0,1012.61,1015.0,SBRJ,826
939,23.0,28.0,24.697,2015-11-02,63.0,82.5152,94.0,1010.0,1013.0,1016.0,SBGL,939
1005,23.0,27.0,24.3929,2015-11-02,79.0,91.4643,100.0,1010.0,1012.82,1015.0,SBRJ,1005
1117,23.0,31.0,25.8438,2015-11-03,53.0,82.4062,94.0,1010.0,1011.94,1015.0,SBGL,1117
1184,23.0,29.0,25.5185,2015-11-03,75.0,92.5185,100.0,1010.0,1011.64,1014.0,SBRJ,1183
1295,23.0,28.0,25.0909,2015-11-04,57.0,79.2121,94.0,1009.0,1012.32,1014.0,SBGL,1294
1363,23.0,28.0,25.0,2015-11-04,66.0,89.2667,100.0,1010.0,1012.3,1014.0,SBRJ,1362
1473,23.0,28.0,25.0909,2015-11-04,57.0,79.2121,94.0,1009.0,1012.32,1014.0,SBGL,1471
1544,23.0,28.0,25.0,2015-11-04,66.0,89.2667,100.0,1010.0,1012.3,1014.0,SBRJ,1542
1649,22.0,29.0,24.7931,2011-12-31,57.0,77.4483,89.0,1007.0,1010.31,1014.0,SBGL,1646
1714,22.0,27.0,25.2778,2011-12-31,74.0,84.1667,94.0,1007.0,1009.39,1012.0,SBRJ,1710
1817,22.0,29.0,24.7931,2011-12-31,57.0,77.4483,89.0,1007.0,1010.31,1014.0,SBGL,1813
1886,22.0,27.0,25.2778,2011-12-31,74.0,84.1667,94.0,1007.0,1009.39,1012.0,SBRJ,1882
3329,23.0,28.0,25.0909,2012-01-01,65.0,86.5152,94.0,1003.0,1004.75,1008.0,SBGL,3330
3330,21.0,23.0,21.7778,2012-01-02,75.0,92.9444,100.0,1003.0,1006.5,1010.0,SBGL,3331
3331,20.0,28.0,23.6562,2012-01-03,49.0,72.9062,94.0,1008.0,1010.16,1013.0,SBGL,3332
3332,22.0,28.0,24.4062,2012-01-04,52.0,72.6875,83.0,1011.0,1012.41,1015.0,SBGL,3333
3333,21.0,28.0,24.7,2012-01-05,65.0,76.4333,94.0,1012.0,1013.3,1015.0,SBGL,3334
3334,23.0,33.0,25.5806,2012-01-06,44.0,75.3871,88.0,1009.0,1012.35,1014.0,SBGL,3335
3335,23.0,32.0,26.8182,2012-01-07,36.0,69.1212,89.0,1011.0,1012.0,1014.0,SBGL,3336
3336,22.0,29.0,24.9714,2012-01-08,56.0,78.7714,92.0,1013.0,1014.74,1016.0,SBGL,3337
3337,22.0,26.0,24.0312,2012-01-09,66.0,81.4375,94.0,1013.0,1014.56,1016.0,SBGL,3338
3338,22.0,28.0,24.4062,2012-01-10,65.0,80.125,94.0,1013.0,1015.38,1018.0,SBGL,3339
3339,22.0,29.0,24.6452,2012-01-11,62.0,81.4839,94.0,1015.0,1016.48,1018.0,SBGL,3340
3340,23.0,31.0,26.3226,2012-01-12,46.0,71.5161,88.0,1012.0,1014.9,1018.0,SBGL,3341
3341,23.0,35.0,27.8438,2012-01-13,23.0,65.0312,89.0,1009.0,1011.72,1013.0,SBGL,3342
3342,25.0,36.0,30.5312,2012-01-14,26.0,49.8125,74.0,1007.0,1009.97,1012.0,SBGL,3343
3343,25.0,35.0,29.5312,2012-01-15,25.0,58.7188,89.0,1009.0,1010.56,1013.0,SBGL,3344
3344,23.0,31.0,25.9167,2012-01-16,54.0,78.5714,89.0,1011.0,1012.83,1014.0,SBGL,3345
3345,23.0,30.0,26.2188,2012-01-17,55.0,76.9062,94.0,1009.0,1011.88,1014.0,SBGL,3346
3346,25.0,31.0,26.6452,2012-01-18,46.0,71.9032,83.0,1010.0,1012.03,1014.0,SBGL,3347
3347,23.0,32.0,26.5588,2012-01-19,43.0,72.8529,94.0,1010.0,1012.21,1014.0,SBGL,3348
3348,23.0,33.0,27.1875,2012-01-20,38.0,70.0625,94.0,1012.0,1013.09,1014.0,SBGL,3349
3349,23.0,33.0,27.4375,2012-01-21,42.0,67.5,88.0,1010.0,1012.5,1015.0,SBGL,3350
3350,24.0,34.0,27.5938,2012-01-22,36.0,65.375,83.0,1010.0,1011.88,1014.0,SBGL,3351
3351,24.0,34.0,28.4375,2012-01-23,36.0,62.0312,83.0,1009.0,1011.06,1013.0,SBGL,3352
3352,23.0,35.0,28.871,2012-01-24,26.0,57.0323,83.0,1009.0,1010.68,1013.0,SBGL,3353
3353,24.0,36.0,30.0323,2012-01-25,23.0,52.6452,78.0,1007.0,1009.9,1012.0,SBGL,3354
3354,23.0,32.0,27.9333,2012-01-26,43.0,67.0333,94.0,1008.0,1010.37,1014.0,SBGL,3355
3355,21.0,23.0,22.2,2012-01-27,78.0,87.8,100.0,1012.0,1013.46,1015.0,SBGL,3356
3356,19.0,25.0,21.2424,2012-01-28,73.0,89.6364,94.0,1013.0,1013.76,1014.0,SBGL,3357
3357,21.0,23.0,21.3235,2012-01-29,78.0,90.3824,100.0,1012.0,1013.24,1015.0,SBGL,3358
3358,20.0,27.0,22.8333,2012-01-30,55.0,81.1,100.0,1010.0,1012.13,1013.0,SBGL,3359
