id,data_dia,numero
1,2015-01-01,3
2,2015-01-02,1
3,2015-01-03,4
4,2015-01-04,5
5,2015-01-05,9
6,2015-01-06,6
7,2015-01-07,6
8,2015-01-08,3
9,2015-01-09,3
10,2015-01-10,5
11,2015-01-11,3
12,2015-01-12,7
13,2015-01-13,4
14,2015-01-14,8
15,2015-01-15,8
16,2015-01-16,16
17,2015-01-17,5
18,2015-01-18,3
19,2015-01-19,11
20,2015-01-20,17
21,2015-01-21,14
22,2015-01-22,7
23,2015-01-23,5
24,2015-01-24,5
25,2015-01-25,1
26,2015-01-26,11
27,2015-01-27,8
28,2015-01-28,7
29,2015-01-29,5
30,2015-01-30,10
31,2015-01-31,6
32,2015-02-01,3
33,2015-02-02,11
34,2015-02-03,11
35,2015-02-04,14
36,2015-02-05,10
37,2015-02-06,6
38,2015-02-07,9
39,2015-02-08,4
40,2015-02-09,10
41,2015-02-10,12
42,2015-02-11,7
43,2015-02-12,8
44,2015-02-13,5
45,2015-02-14,1
46,2015-02-15,5
47,2015-02-16,6
48,2015-02-17,10
49,2015-02-18,8
50,2015-02-19,7
51,2015-02-20,12
52,2015-02-21,9
53,2015-02-22,9
54,2015-02-23,1
55,2015-02-24,13
56,2015-02-25,15
57,2015-02-26,13
58,2015-02-27,19
59,2015-02-28,11
60,2015-03-01,14
61,2015-03-02,14
62,2015-03-03,7
63,2015-03-04,24
64,2015-03-05,17
65,2015-03-06,9
66,2015-03-07,9
67,2015-03-08,11
68,2015-03-09,12
69,2015-03-10,18
70,2015-03-11,10
71,2015-03-12,25
72,2015-03-13,37
73,2015-03-14,16
74,2015-03-15,9
75,2015-03-16,16
76,2015-03-17,29
77,2015-03-18,31
78,2015-03-19,9
79,2015-03-20,19
80,2015-03-21,24
81,2015-03-22,12
82,2015-03-23,31
83,2015-03-24,22
84,2015-03-25,19
85,2015-03-26,20
86,2015-03-27,26
87,2015-03-28,16
88,2015-03-29,14
89,2015-03-30,32
90,2015-03-31,33
91,2015-04-01,27
92,2015-04-02,31
93,2015-04-03,19
94,2015-04-04,16
95,2015-04-05,20
96,2015-04-06,33
97,2015-04-07,27
98,2015-04-08,19
99,2015-04-09,19
100,2015-04-10,22
101,2015-04-11,47
102,2015-04-12,29
103,2015-04-13,38
104,2015-04-14,71
105,2015-04-15,65
106,2015-04-16,62
107,2015-04-17,55
108,2015-04-18,29
109,2015-04-19,28
110,2015-04-20,37
111,2015-04-21,29
112,2015-04-22,37
113,2015-04-23,45
114,2015-04-24,1
115,2015-04-25,31
116,2015-04-26,44
117,2015-04-27,74
118,2015-04-28,45
119,2015-04-29,46
120,2015-04-30,46
121,2015-05-01,1
122,2015-05-02,35
123,2015-05-03,39
124,2015-05-04,78
125,2015-05-05,124
126,2015-05-06,97
127,2015-05-07,115
128,2015-05-08,97
129,2015-05-09,48
130,2015-05-10,27
131,2015-05-11,79
132,2015-05-12,55
133,2015-05-13,86
134,2015-05-14,79
135,2015-05-15,50
136,2015-05-16,32
137,2015-05-17,40
138,2015-05-18,42
139,2015-05-19,54
140,2015-05-20,65
141,2015-05-21,39
142,2015-05-22,43
143,2015-05-23,27
144,2015-05-24,34
145,2015-05-25,47
146,2015-05-26,47
147,2015-05-27,50
148,2015-05-28,1
149,2015-05-29,45
150,2015-05-30,24
151,2015-05-31,26
152,2015-06-01,17
153,2015-06-02,44
154,2015-06-03,32
155,2015-06-04,28
156,2015-06-05,32
157,2015-06-06,32
158,2015-06-07,12
159,2015-06-08,38
160,2015-06-09,31
161,2015-06-10,1
162,2015-06-11,22
163,2015-06-12,18
164,2015-06-13,15
165,2015-06-14,10
166,2015-06-15,20
167,2015-06-16,25
168,2015-06-17,28
169,2015-06-18,18
170,2015-06-19,8
171,2015-06-20,7
172,2015-06-21,13
173,2015-06-22,15
174,2015-06-23,24
175,2015-06-24,16
176,2015-06-25,16
177,2015-06-26,1
178,2015-06-27,13
179,2015-06-28,12
180,2015-06-29,23
181,2015-06-30,21
182,2015-07-01,28
183,2015-07-02,23
184,2015-07-03,12
185,2015-07-04,13
186,2015-07-05,4
187,2015-07-06,25
188,2015-07-07,17
189,2015-07-08,7
190,2015-07-09,22
191,2015-07-10,14
192,2015-07-11,10
193,2015-07-12,8
194,2015-07-13,7
195,2015-07-14,13
196,2015-07-15,8
197,2015-07-16,17
198,2015-07-17,16
199,2015-07-18,12
200,2015-07-19,20
201,2015-07-20,15
202,2015-07-21,12
203,2015-07-22,11
204,2015-07-23,23
205,2015-07-24,10
206,2015-07-25,13
207,2015-07-26,9
208,2015-07-27,13
209,2015-07-28,16
210,2015-07-29,17
211,2015-07-30,13
212,2015-07-31,10
213,2015-08-01,6
214,2015-08-02,11
215,2015-08-03,13
216,2015-08-04,9
217,2015-08-05,13
218,2015-08-06,5
437,2015-08-23,6
438,2015-08-24,9
439,2015-08-25,5
440,2015-08-26,12
441,2015-08-27,9
442,2015-08-28,11
443,2015-08-29,7
444,2015-08-30,6
469,2015-08-31,5
473,2015-09-05,22
474,2015-09-06,10
475,2015-09-07,10
485,2015-09-08,11
486,2015-09-09,27
487,2015-09-10,15
488,2015-09-11,20
489,2015-09-12,10
505,2015-09-20,14
506,2015-09-21,6
507,2015-09-23,1
508,2015-09-24,9
509,2015-09-25,6
525,2015-09-22,9
526,2015-09-26,6
527,2015-09-27,2
537,2015-10-02,10
538,2015-10-03,5
539,2015-10-04,5
540,2015-10-05,9
553,2015-10-06,12
554,2015-10-07,19
555,2015-10-08,13
556,2015-10-09,12
569,2015-10-10,7
